Wuhan,30.35,108.54,CITY,
Taipei,25.05,121.32,CITY,
West Island,-12.1,96.49,CITY,
Bogot,4.36,-74.05,CITY,
Moroni,-11.4,43.16,CITY,
Pointe Noire,-4.46,11.53,CITY,
Kinshasa,-4.18,15.18,CITY,
Kisangani,0.33,25.14,CITY,
Lubumbashi,-11.41,27.29,CITY,
Avarua,-21.12,159.46,CITY,
San Jos,9.56,-84.05,CITY,
Abidjan,5.19,-0.05,CITY,
Yamoussoukro,6.49,-5.17,CITY,
Zagreb,45.48,15.58,CITY,
Guantnamo,20.09,-75.14,CITY,
Havana,23.08,-82.22,CITY,
Willemstad,12.12,-68.56,CITY,
Nicosia,35.1,33.22,CITY,
Brno,49.13,16.4,CITY,
Prague,50.06,14.26,CITY,
Kinshasa,-4.18,15.18,CITY,
Copenhagen,55.45,12.25,CITY,
Djibouti,11.33,43.1,CITY,
Roseau,15.18,-61.23,CITY,
Santo Domingo,18.28,-69.54,CITY,
Guayaquil,-2.1,-79.5,CITY,
Quito,-0.14,-78.3,CITY,
Aswan,24.05,32.56,CITY,
Cairo,30.03,31.15,CITY,
San Salvador,13.4,-89.1,CITY,
Birmingham,52.28,-1.54,CITY,
Greenwich,51.28,0,CITY,
London,51.3,-0.1,CITY,
Malabo,3.45,8.48,CITY,
Asmara,15.2,38.58,CITY,
Tallinn,59.26,24.43,CITY,
Addis Ababa,9.03,38.42,CITY,
Stanley,-51.45,-57.56,CITY,
Trshavn,62.01,-6.46,CITY,
Nadi,-17.47,177.29,CITY,
Suva,-18.08,178.25,CITY,
Helsinki,60.08,25,CITY,
Bordeaux,44.5,-0.34,CITY,
Nice,43.42,7.15,CITY,
Paris,48.52,2.2,CITY,
Cayenne,4,-52.3,CITY,
Gambier Island,-23.1,-135,CITY,
Papeete,-17.32,-149.34,CITY,
Libreville,0.3,9.25,CITY,
Banjul,13.28,-16.39,CITY,
T'bilisi,41.43,44.49,CITY,
Berlin,52.32,13.25,CITY,
Hamburg,53.33,9.59,CITY,
Accra,5.33,-0.15,CITY,
Gibraltar,36.09,-5.21,CITY,
Athens,37.58,23.43,CITY,
Godthb,64.1,-51.35,CITY,
Qaanaaq,77.42,-68.3,CITY,
Saint George's,12.04,61.44,CITY,
Basse-Terre,16.1,-61.4,CITY,
Hagta,13.28,144.45,CITY,
Guatemala City,14.38,-90.31,CITY,
Saint Peter Port,49.27,-2.32,CITY,
Conakry,9.29,-13.43,CITY,
Bissau,11.52,-15.39,CITY,
Georgetown,6.48,-58.1,CITY,
Port Au Prince,18.32,-72.2,CITY,
Tegucigalpa,14.05,-87.14,CITY,
Hong Kong,22.15,114.1,CITY,
Budapest,47.3,19.05,CITY,
Reykjavk,64.09,-21.51,CITY,
Bangalore,12.58,77.35,CITY,
Calcutta,22.3,88.2,CITY,
Delhi,28.4,77.14,CITY,
Kandla,23.03,70.11,CITY,
Mumbai,18.56,74.35,CITY,
Nagpur,21.1,79.12,CITY,
Jakarta,-6.08,106.45,CITY,
Mashad,36.16,59.34,CITY,
Shiraz,29.38,52.34,CITY,
Tabriz,38.05,46.18,CITY,
Tehran,35.4,51.26,CITY,
Baghdad,33.2,44.26,CITY,
Cork,51.54,-8.28,CITY,
Dublin,53.2,-6.15,CITY,
Douglas,54.09,-4.29,CITY,
Jerusalem,31.47,35.13,CITY,
Tel Aviv,32.5,34.48,CITY,
Florence,43.46,11.15,CITY,
Naples,40.51,14.17,CITY,
Rome,41.48,12.36,CITY,
Kingston,17.58,-76.48,CITY,
Hiroshima,34.23,132.27,CITY,
Kagoshima,31.37,130.32,CITY,
Kobe,34.41,135.12,CITY,
Kyoto,35.1,135.46,CITY,
Nagasaki,32.47,129.52,CITY,
Naha,26.12,127.41,CITY,
Osaka,34.42,135.3,CITY,
Sapporo,43.05,141.21,CITY,
Tokyo,35.4,139.45,CITY,
Saint Helier,49.11,-2.07,CITY,
Amman,31.57,35.56,CITY,
Astana,51.1,71.3,CITY,
Petropavl,54.53,69.13,CITY,
Nairobi,-1.17,36.49,CITY,
Tarawa,1.3,173,CITY,
Seoul,37.3,127,CITY,
Kuwait,29.2,48,CITY,
Bishkek,42.53,74.46,CITY,
Vientiane,17.58,102.36,CITY,
Beirut,33.52,35.3,CITY,
Maseru,-29.19,27.29,CITY,
Monrovia,6.18,-10.47,CITY,
Vaduz,47.08,9.32,CITY,
Vilnius,54.41,25.19,CITY,
Luxembourg,49.37,6.08,CITY,
Riga,56.4,106.1,CITY,
Benghazi,32.07,20.04,CITY,
Tripoli,32.54,13.11,CITY,
Antananarivo,-18.52,47.3,CITY,
Lilongwe,-13.58,33.49,CITY,
George Town,5.25,100.19,CITY,
Johor Bahru,1.29,103.44,CITY,
Kota Bharu,6.8,102.15,CITY,
Kota Kinabalu,2.33,102.1,CITY,
Kuching,1.33,110.25,CITY,
Kuala Lumpur,3.08,101.42,CITY,
Mal,4,73.28,CITY,
Bamako,12.39,-8,CITY,
Tombouctou,16.49,-2.59,CITY,
Valletta,35.54,14.32,CITY,
Rabat,34.02,-6.51,CITY,
Majuro,7.05,171.08,CITY,
Fort-de-France,14.36,-61.05,CITY,
Nouakchott,18.09,-15.58,CITY,
Port Louis,-20.1,57.3,CITY,
Mamoudzou,-12.47,45.14,CITY,
Chihuahua,28.4,-106.06,CITY,
Guadalajara,20.4,-103.2,CITY,
Mexico City,19.24,-99.09,CITY,
Tijuana,32.32,-117.01,CITY,
Veracruz,19.12,-96.08,CITY,
Palikir,6.58,158.13,CITY,
Chisinau,47,28.5,CITY,
Monaco,43.45,7.23,CITY,
Ulaanbaatar,47.54,106.52,CITY,
Podgorica,42.28,19.17,CITY,
Plymouth,16.44,-62.14,CITY,
Sidi Ifni,29.24,-10.12,CITY,
Beira,-19.49,34.52,CITY,
Maputo,-25.58,32.35,CITY,
Mandalay,21.57,96.04,CITY,
Yangon,16.47,96.1,CITY,
Lderitz,-26.38,15.1,CITY,
Windhoek,-22.34,17.06,CITY,
Kathmandu,27.42,85.19,CITY,
Amsterdam,52.21,4.54,CITY,
Noumea,-22.16,166.26,CITY,
Auckland,-36.55,174.47,CITY,
Timaru,-44.23,171.14,CITY,
Wellington,-41.17,174.47,CITY,
Managua,12.06,-86.18,CITY,
Niamey,13.32,2.05,CITY,
Abuja,9.1,7.11,CITY,
Kano,12,8.31,CITY,
Lagos,6.27,3.24,CITY,
Alofi,-19.01,169.55,CITY,
Kingston,-29.04,167.57,CITY,
Pyongyang,39,125.47,CITY,
Longyearbyen,78.12,15.4,CITY,
Oslo,59.55,10.45,CITY,
Muscat,23.37,58.38,CITY,
Salalah,17,54.04,CITY,
Islamabad,33.4,73.08,CITY,
Karachi,24.51,67.02,CITY,
Koror,7.21,134.31,CITY,
Panama City,8.58,-79.32,CITY,
Port Moresby,-9.3,147.07,CITY,
Asuncin,-25.16,-57.4,CITY,
Arequipa,-16.25,-71.32,CITY,
Iquitos,-3.51,-73.13,CITY,
Lima,-12.03,-77.03,CITY,
Manila,14.35,120.59,CITY,
Adamstown,-25.04,-130.05,CITY,
Warsaw,52.15,21,CITY,
G'dansk,54.23,18.4,CITY,
Lisbon,38.44,-9.08,CITY,
San Juan,18.28,-66.07,CITY,
Doha,25.15,51.36,CITY,
Brazzaville,4.14,15.14,CITY,
Skopje,42,21.28,CITY,
Saint-Denis,-20.52,55.27,CITY,
Bucharest,44.26,26.06,CITY,
Chita,52.03,113.35,CITY,
Krasnodar,45.02,39,CITY,
Moscow,55.45,37.42,CITY,
Omsk,54.59,73.22,CITY,
Saint Petersburg,59.56,30.2,CITY,
Vladivostok,43.09,131.53,CITY,
Kigali,-1.56,30.04,CITY,
Saint-Pierre,46.46,-56.11,CITY,
Jamestown,-15.56,-5.44,CITY,
Basseterre,17.18,-62.43,CITY,
Castries,14.01,-60.59,CITY,
Kingstown,13.12,-61.14,CITY,
Apia, Samoa,-13.48,-171.45,CITY
San Marino,43.56,12.26,CITY,
Sao Tome,0.19,6.43,CITY,
Riyadh,24.39,46.46,CITY,
Glasgow,55.53,-4.15,CITY,
Dakar,14.4,-17.26,CITY,
Belgrad,44.5,20.3,CITY,
Victoria,-4.38,55.28,CITY,
Freetown,8.3,-13.15,CITY,
Singapore,1.18,103.5,CITY,
Bratislava,48.1,17.1,CITY,
Ljubljana,46.04,14.3,CITY,
Honiara,-9.28,159.57,CITY,
Mogadishu,2.02,45.21,CITY,
Cape Town,-35.55,18.22,CITY,
Johannesburg,-26.08,27.54,CITY,
Port Elizabeth,-33.58,25.36,CITY,
Pretoria,-25.45,28.12,CITY,
Seoul,37.32,127,CITY,
Barcelona,41.23,2.11,CITY,
Madrid,40.24,-3.41,CITY,
Colombo,6.55,79.52,CITY,
Khartoum,15.36,32.32,CITY,
Paramaribo,5.5,-55.1,CITY,
Mbabane,-26.2,31.08,CITY,
Stockholm,59.2,18.03,CITY,
Berne,46.57,7.27,CITY,
Zrich,47.22,8.33,CITY,
Damascus,33.3,36.18,CITY,
Dushanbe,38.38,68.51,CITY,
Dar es Salaam,-6.51,39.18,CITY,
Lindi,-10,39.41,CITY,
Zanzibar,-6.1,39.2,CITY,
Bangkok,13.44,100.3,CITY,
Lom,6.08,1.13,CITY,
Nuku?alofa,-21.09,-175.14,CITY,
Port of Spain,10.38,-61.31,CITY,
Tunis,36.48,10.11,CITY,
Sfax,34.44,10.46,CITY,
Ankara,39.55,32.5,CITY,
Istanbul,41.01,28.58,CITY,
Trabzon,41,39.43,CITY,
Ashkhabad,37.58,58.24,CITY,
Funafuti,-8.31,179.13,CITY,
Charlotte Amalie,18.22,-64.56,CITY,
Kampala,0.19,35.25,CITY,
Kiev,50.25,30.43,CITY,
Abu Dhabi,24.28,54.22,CITY,
Dubai,25.16,55.2,CITY,
Chicago,41.53,-87.39,CITY,
Honolulu,21.18,-157.49,CITY,
Houston,29.45,-95.22,CITY,
Los Angeles,34.03,-118.15,CITY,
New York City,40.43,-74,CITY,
Montevideo,-34.53,-56.11,CITY,
Tashkent,41.16,69.13,CITY,
Port Vila,-17.45,168.18,CITY,
Caracas,10.3,-66.56,CITY,
Mrida,8.24,-71.08,CITY,
Hanoi,21.01,105.52,CITY,
Ho Chi Minh,10.46,106.43,CITY,
Mata-Utu,-13.22,-176.12,CITY,
Sana'a,15.24,44.14,CITY,
Lusaka,-15.26,28.2,CITY,
Mbala,1.04,34.12,CITY,
Harare,-17.5,31.3,CITY,
